,DRIBBLES,SHOT_DIST,CLOSE_DEF_DIST,TOUCH_TIME
1238,2,6.7,1.8,5.0
2333,0,21.4,6.0,1.9
4980,3,7.0,2.3,5.8
5198,0,3.4,1.4,0.8
2244,6,16.4,2.9,5.9
4012,0,23.5,5.7,1.2
243,0,20.3,3.9,1.1
3604,18,4.3,2.2,17.3
4310,13,16.6,5.8,11.7
3213,5,3.8,2.9,5.3
6026,5,1.0,3.7,5.7
3675,0,5.1,2.1,0.0
2425,0,14.5,2.5,1.6
6317,4,16.6,3.2,3.3
39,8,19.3,4.9,6.3
3792,3,42.9,3.1,2.1
1661,9,7.8,0.0,8.8
5459,7,4.6,2.5,5.4
5461,0,15.6,3.1,-0.1
361,1,25.8,5.2,1.6
4289,2,5.0,1.1,3.0
6059,3,12.2,4.7,9.6
1109,0,2.3,1.3,2.5
1921,2,14.9,3.1,1.5
2680,12,23.1,6.3,9.0
4299,1,4.3,3.5,1.0
2269,1,15.1,2.9,2.7
1640,3,22.4,2.0,5.4
1483,0,20.9,8.9,1.4
444,0,25.6,2.1,0.9
640,0,2.7,0.4,0.7
5750,0,15.5,0.8,4.4
2015,0,25.9,3.1,2.6
2109,0,23.1,7.0,1.1
1208,0,6.2,5.0,1.0
459,0,25.4,2.3,1.9
4613,8,4.2,1.8,9.5
2956,0,25.2,2.1,5.3
5707,4,24.2,4.0,5.3
1153,7,7.0,1.5,5.8
3217,11,7.8,1.8,8.2
6207,0,29.5,6.2,0.1
587,1,8.2,2.6,4.0
625,13,24.3,2.0,11.6
1787,1,25.3,2.2,1.4
1453,0,25.4,3.6,1.0
2742,11,11.9,1.0,7.5
3552,12,14.5,4.0,8.7
1181,13,4.2,5.2,11.4
2880,5,25.0,4.8,4.1
421,1,22.4,3.0,1.0
735,0,24.4,6.0,0.8
1137,6,23.4,7.5,5.5
4258,9,4.8,2.5,7.1
1729,4,8.4,2.2,4.8
4422,0,5.5,1.6,0.7
6040,4,0.8,3.7,6.5
