,DRIBBLES,SHOT_DIST,CLOSE_DEF_DIST,TOUCH_TIME,SHOT_RESULT
9810,5,21.1,4.3,4.5,made
9811,7,19.6,3.2,12.1,missed
9812,3,24.8,3.6,5.2,missed
9813,3,12.2,4.7,9.6,made
9814,0,26.4,5.7,6.7,missed
9815,13,14.5,4.5,11.5,missed
9816,2,24.5,3.2,2.5,missed
9817,0,18.2,2.0,0.8,made
9818,0,24.5,11.3,1.8,made
9819,0,20.2,4.0,3.6,missed
9820,3,3.1,2.7,8.2,made
9821,3,24.5,3.1,3.0,missed
9822,2,12.6,3.0,5.2,made
9823,11,9.9,1.7,9.7,missed
9824,0,26.8,2.9,1.4,missed
9825,1,21.5,8.8,2.2,made
9826,6,24.3,4.9,5.5,made
9827,9,24.9,5.8,8.6,made
9828,1,4.8,0.9,3.8,missed
9829,0,2.7,5.2,0.7,made
9830,4,10.7,3.5,5.0,missed
9831,13,24.5,2.3,9.9,made
9832,0,25.8,3.3,1.6,missed
9833,12,14.2,3.2,10.5,missed
9834,9,15.8,2.3,12.9,missed
9835,12,3.4,3.3,9.7,made
9836,5,25.8,4.6,5.7,made
9837,0,22.5,4.6,0.3,missed
9838,0,22.1,3.4,1.2,missed
9839,0,20.4,5.0,1.0,missed
9840,10,18.8,5.1,11.4,made
9841,7,24.4,2.6,7.6,missed
9842,0,24.8,4.5,3.7,missed
9843,8,16.2,3.2,7.0,missed
9844,7,25.2,5.2,5.8,missed
9845,12,11.8,3.8,15.5,missed
9846,3,19.3,3.9,3.2,missed
9847,1,25.5,4.7,2.3,missed
9848,13,19.0,4.0,9.4,missed
9849,8,19.3,4.9,6.3,missed
9850,4,25.3,4.6,5.8,made
9851,9,25.5,2.1,8.2,missed
9852,16,4.7,2.5,12.9,missed
9853,13,13.9,2.9,12.6,missed
9854,0,26.4,5.3,0.9,missed
9855,0,24.1,3.1,0.8,made
9856,4,27.5,3.2,5.1,missed
9857,0,25.4,2.3,0.7,missed
9858,11,23.7,5.1,12.7,missed
9859,0,3.4,3.8,0.0,missed
9860,3,3.4,2.2,6.7,missed
9861,0,21.9,5.0,0.7,missed
9862,1,25.6,3.6,1.7,missed
9863,4,13.4,4.1,5.0,missed
9864,13,17.5,3.5,14.0,missed
9865,9,10.8,5.2,7.9,made
9866,1,27.3,1.8,2.3,missed
9867,3,14.7,2.4,5.2,made
9868,1,17.5,2.6,3.2,missed
9869,6,24.3,2.6,5.4,made
9870,6,25.1,3.4,6.4,made
9871,5,7.6,2.3,6.0,made
9872,7,14.5,2.7,7.6,missed
9873,0,2.3,2.9,0.8,made
9874,2,21.7,4.6,4.7,missed
9875,0,22.9,3.6,1.3,missed
9876,7,9.0,1.4,8.2,missed
9877,5,11.2,1.7,7.4,made
9878,3,18.8,3.8,2.8,missed
9879,3,17.0,2.1,5.3,missed
9880,16,23.1,3.5,15.8,made
9881,11,7.4,4.0,8.0,missed
9882,11,7.9,2.3,9.4,made
9883,0,20.6,4.0,1.4,missed
9884,0,20.1,2.5,3.5,made
9885,5,22.3,3.4,5.0,missed
9886,8,3.1,0.0,10.8,made
9887,3,19.0,4.0,3.3,missed
9888,0,24.4,4.9,0.8,made
9889,2,22.8,4.4,3.4,made
9890,0,25.4,2.1,1.1,missed
9891,10,19.3,3.0,14.0,missed
9892,0,2.6,1.3,1.1,missed
9893,4,3.9,1.2,8.2,made
9894,11,15.9,2.6,11.4,missed
9895,3,25.7,2.9,6.5,made
9896,0,27.2,1.8,0.5,missed
9897,9,14.4,3.2,7.6,made
9898,4,25.7,3.1,5.2,made
9899,3,24.2,5.0,3.7,made
9900,13,13.7,1.8,10.8,made
9901,10,15.5,2.8,10.7,missed
9902,3,12.0,3.4,5.0,made
9903,8,25.0,4.0,6.3,missed
9904,19,16.3,2.8,17.5,missed
9905,12,22.1,2.2,12.4,missed
9906,2,25.1,2.0,5.2,made
9907,0,29.3,6.5,1.1,missed
9908,3,13.9,3.8,5.1,made
9909,4,25.5,4.6,4.0,missed
9910,2,8.0,2.1,2.4,missed
9911,6,14.5,3.0,7.5,missed
9912,2,16.8,3.2,4.3,made
9913,4,12.8,2.4,10.2,missed
9914,5,12.9,2.5,5.3,missed
9915,4,24.1,5.4,4.5,made
9916,2,17.8,2.8,4.6,made
9917,0,24.5,2.7,0.8,missed
9918,0,17.3,3.3,3.8,missed
9919,1,18.2,4.2,4.6,missed
9920,0,19.2,5.2,0.8,missed
9921,2,5.2,0.0,3.8,made
9922,0,22.7,4.6,1.2,missed
9923,0,24.8,5.0,3.9,made
9924,7,10.9,2.4,6.4,missed
9925,2,10.8,2.0,4.0,missed
9926,2,21.0,3.2,2.0,missed
9927,1,5.3,0.6,1.8,missed
9928,8,14.7,5.7,6.8,missed
9929,0,18.6,2.2,1.4,missed
9930,1,23.4,2.8,2.0,made
9931,2,32.3,5.6,3.4,made
9932,7,23.3,3.6,7.7,missed
9933,3,14.5,3.0,4.1,made
9934,4,7.7,2.1,4.7,made
9935,2,2.6,3.8,3.9,made
9936,1,18.5,3.8,2.9,missed
9937,6,25.1,3.3,6.6,missed
9938,8,20.6,1.5,13.8,missed
9939,2,18.6,2.8,3.9,missed
9940,8,6.5,4.6,7.4,missed
9941,0,25.2,1.8,1.0,missed
9942,2,23.7,1.2,2.2,missed
9943,15,19.8,3.6,13.0,missed
9944,5,7.8,2.6,9.8,made
9945,6,22.9,4.5,8.5,missed
9946,3,25.1,4.5,3.8,missed
9947,0,23.2,3.2,0.9,missed
9948,0,3.3,2.4,0.5,missed
9949,1,38.6,5.7,2.1,missed
9950,0,25.1,2.0,1.5,missed
9951,3,13.2,1.5,4.6,made
9952,1,13.5,2.0,4.8,missed
9953,0,23.8,4.0,1.0,missed
9954,0,15.4,2.0,0.9,missed
9955,5,9.1,1.6,6.9,made
9956,3,14.7,2.3,4.8,missed
9957,0,24.4,11.1,1.0,missed
9958,8,15.8,3.1,8.4,missed
9959,2,17.0,2.6,4.8,made
9960,3,15.5,3.7,3.7,missed
9961,0,19.3,1.7,0.7,missed
9962,3,18.5,0.8,3.8,missed
9963,0,21.1,3.8,2.9,missed
9964,1,17.4,2.9,1.9,made
9965,1,21.0,2.0,1.8,missed
9966,3,15.2,2.1,6.2,missed
9967,0,24.7,2.9,0.8,missed
9968,6,5.8,0.4,5.8,missed
9969,3,7.7,1.6,2.7,missed
9970,6,25.2,3.1,6.1,missed
9971,1,16.9,3.6,4.2,missed
9972,5,4.2,1.1,5.8,missed
9973,0,17.4,2.6,0.1,made
9974,1,18.0,1.9,5.4,missed
9975,1,23.1,4.3,4.6,made
9976,1,22.8,3.4,1.0,missed
9977,0,26.7,14.3,0.9,made
9978,5,25.8,2.6,4.6,missed
9979,2,6.2,1.3,1.9,missed
9980,1,1.0,0.6,7.3,made
9981,1,25.4,1.5,1.8,missed
9982,5,3.1,0.0,4.5,missed
9983,2,4.6,0.7,3.0,made
9984,3,4.0,3.2,3.8,made
9985,0,24.6,2.9,0.9,missed
9986,5,4.7,0.4,4.4,made
9987,0,24.6,4.2,0.8,missed
9988,10,16.4,2.6,5.3,missed
9989,1,23.0,2.6,3.8,missed
9990,0,24.6,6.2,1.2,missed
9991,10,13.5,2.6,8.2,missed
